r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
46.06708,100,21.975288,0.77,4.0,46.07,0.34,66.0,34.0,27.0,13.0,13.0,13.0,332.98,1.0,17.06,0.18,0.22
46.76814,100,22.210001,0.64,2.0,46.77,0.1,90.0,10.0,55.0,18.0,8.0,9.0,369.87,4.22,19.46,0.27,0.21
30.578346,100,22.429159,0.54,0.0,30.58,0.15,85.0,15.0,43.0,20.0,11.0,11.0,464.32,2.68,28.83,0.26,0.22
24.931389,100,22.616209,0.33,0.0,24.93,0.19,81.0,19.0,58.0,6.0,10.0,7.0,458.18,9.98,16.28,0.13,0.21
43.067852,100,23.019362,0.66,3.0,43.07,0.18,82.0,18.0,45.0,19.0,9.0,9.0,256.01,2.28,22.93,0.21,0.17
39.066734,100,23.513174,0.7,2.0,39.07,0.09,91.0,9.0,61.0,8.0,10.0,12.0,472.32,10.29,15.95,0.28,0.39
18.578098,100,23.892402,0.49,6.0,18.58,0.22,78.0,22.0,55.0,9.0,9.0,5.0,480.29,11.26,14.72,0.25,0.46
33.14335,100,24.234815,0.54,3.0,33.14,0.16,84.0,16.0,52.0,9.0,16.0,7.0,415.55,5.37,18.28,0.16,0.35
31.741346,100,24.59537,0.45,0.0,31.74,0.19,81.0,19.0,51.0,15.0,8.0,7.0,374.19,10.77,12.69,0.25,0.32
27.412683,100,25.00677,-1.0,6.0,27.41,0.19,81.0,19.0,61.0,6.0,6.0,8.0,427.58,10.2,16.63,0.16,0.33
31.87362,100,25.340835,0.73,5.0,31.87,0.18,82.0,18.0,54.0,12.0,9.0,7.0,392.39,7.65,22.41,0.17,0.38
46.79625,100,25.733995,0.83,5.0,46.8,0.18,82.0,18.0,49.0,12.0,12.0,9.0,259.32,1.68,24.09,0.24,0.31
20.294865,100,26.068657,0.35,1.0,20.29,0.19,81.0,19.0,53.0,6.0,11.0,11.0,515.36,4.98,18.16,0.13,0.36
24.612705,100,26.490776,0.65,4.0,24.61,0.18,82.0,18.0,49.0,11.0,10.0,12.0,480.85,4.33,21.86,0.15,0.31
38.45297,100,26.854842,0.65,0.0,38.45,0.17,83.0,17.0,53.0,12.0,7.0,11.0,332.56,9.67,13.43,0.18,0.39
19.50216,100,27.2669,0.25,3.0,19.5,0.16,84.0,16.0,49.0,9.0,12.0,14.0,577.78,9.55,16.12,0.2,0.32
29.947525,100,27.663772,0.8,6.0,29.95,0.19,81.0,19.0,62.0,3.0,8.0,8.0,396.31,5.29,22.13,0.18,0.37
35.636246,100,28.019355,0.69,4.0,35.64,0.15,85.0,15.0,54.0,14.0,9.0,8.0,404.88,8.48,18.18,0.23,0.37
28.559305,100,28.484118,-1.0,5.0,28.56,0.17,83.0,17.0,52.0,9.0,10.0,12.0,451.64,6.81,23.07,0.06,0.33
43.349686,100,28.950558,0.66,2.0,43.35,0.11,89.0,11.0,54.0,13.0,10.0,12.0,389.94,6.25,25.39,0.18,0.43
13.7734785,100,29.300815,-1.0,6.0,13.77,0.2,80.0,20.0,54.0,7.0,9.0,10.0,578.25,5.48,20.69,0.2,0.44
23.186848,100,29.669905,0.43,6.0,23.19,0.18,82.0,18.0,55.0,7.0,6.0,14.0,498.22,7.85,16.08,0.11,0.32
29.793943,100,30.066295,0.46,3.0,29.79,0.13,87.0,13.0,52.0,11.0,11.0,13.0,508.61,9.52,17.76,0.32,0.32
19.017834,100,30.519884,-1.0,6.0,19.02,0.25,75.0,25.0,49.0,9.0,7.0,10.0,413.68,3.1,28.37,0.16,0.37
35.44167,100,31.089548,0.51,2.0,35.44,0.15,85.0,15.0,60.0,12.0,7.0,6.0,407.16,4.93,19.25,0.15,0.42
24.520226,100,31.528609,-1.0,4.0,24.52,0.22,78.0,22.0,38.0,11.0,20.0,9.0,455.41,1.4,18.28,0.22,0.54
13.668809,100,31.94121,0.54,4.0,13.67,0.24,76.0,24.0,41.0,13.0,12.0,10.0,504.85,9.38,14.97,0.24,0.41
37.808388,100,32.322437,0.65,4.0,37.81,0.13,87.0,13.0,54.0,11.0,9.0,13.0,416.58,9.53,18.48,0.15,0.38
24.629057,100,32.76245,0.25,3.0,24.63,0.14,86.0,14.0,46.0,12.0,12.0,16.0,551.27,6.88,18.47,0.19,0.36
37.406445,100,33.119516,0.58,3.0,37.41,0.14,86.0,14.0,55.0,14.0,10.0,7.0,402.85,11.8,14.04,0.21,0.41
42.131374,100,33.499486,0.76,1.0,42.13,0.14,86.0,14.0,61.0,8.0,8.0,9.0,347.96,8.25,18.62,0.17,0.33
42.000633,100,33.903452,-1.0,7.0,42.0,0.17,83.0,17.0,48.0,16.0,8.0,11.0,289.86,4.22,20.97,0.2,0.35
24.01638,100,34.370613,-1.0,5.0,24.02,0.18,82.0,18.0,48.0,14.0,10.0,10.0,488.12,5.49,20.85,0.14,0.38
11.091836,100,34.734094,0.28,2.0,11.09,0.19,81.0,19.0,57.0,11.0,7.0,6.0,628.87,5.58,24.24,0.1,0.43
39.380184,100,35.133386,0.7,5.0,39.38,0.17,83.0,17.0,49.0,10.0,16.0,8.0,321.4,3.78,22.17,0.23,0.34
20.442003,100,35.526791,0.41,0.0,20.44,0.25,75.0,25.0,48.0,15.0,7.0,5.0,394.71,8.55,18.05,0.24,0.37
32.788433,100,36.077944,0.56,3.0,32.79,0.2,80.0,20.0,53.0,11.0,9.0,7.0,340.8,8.33,16.0,0.2,0.36
17.810394,100,36.461443,0.25,1.0,17.81,0.25,75.0,25.0,47.0,8.0,13.0,7.0,429.77,1.75,25.05,0.13,0.52
19.927917,100,36.885239,0.39,2.0,19.93,0.19,81.0,19.0,50.0,10.0,8.0,13.0,519.89,7.46,20.13,0.09,0.35
43.073334,100,37.277842,-1.0,6.0,43.07,0.18,82.0,18.0,56.0,8.0,9.0,9.0,255.95,3.44,27.41,0.15,0.39
24.591541,100,37.740367,0.74,5.0,24.59,0.23,77.0,23.0,53.0,9.0,7.0,8.0,382.55,3.35,30.32,0.16,0.37
13.822704,100,38.108609,0.35,0.0,13.82,0.24,76.0,24.0,52.0,8.0,6.0,10.0,502.83,9.87,14.61,0.28,0.43
41.140266,100,38.483439,0.48,0.0,41.14,0.15,85.0,15.0,59.0,14.0,4.0,8.0,340.19,2.55,29.36,0.15,0.33
23.828062,100,38.897406,0.59,4.0,23.83,0.16,84.0,16.0,58.0,11.0,9.0,6.0,526.33,13.05,12.43,0.14,0.35
31.048756,100,39.27827,0.53,6.0,31.05,0.18,82.0,18.0,55.0,8.0,10.0,9.0,402.44,8.5,16.91,0.22,0.38
60.682953,100,39.610831,0.88,0.0,60.68,0.12,88.0,12.0,70.0,5.0,8.0,5.0,174.88,6.17,28.16,0.13,0.35
47.675213,100,39.993026,0.89,5.0,47.68,0.15,85.0,15.0,48.0,15.0,12.0,10.0,263.38,8.76,17.62,0.17,0.31
26.422747,100,40.430957,0.64,1.0,26.42,0.19,81.0,19.0,47.0,5.0,15.0,14.0,439.79,6.63,22.79,0.12,0.35
10.168936,100,40.746442,0.25,0.0,10.17,0.18,82.0,18.0,62.0,7.0,9.0,4.0,681.19,2.0,33.27,0.13,0.39
20.200766,100,41.057905,0.46,3.0,20.2,0.14,86.0,14.0,49.0,15.0,13.0,9.0,602.71,9.37,16.95,0.21,0.28
12.131199,100,41.335994,-1.0,7.0,12.13,0.19,81.0,19.0,65.0,6.0,7.0,3.0,616.05,10.0,18.38,0.14,0.29
28.865564,100,41.641803,0.54,3.0,28.87,0.2,80.0,20.0,51.0,15.0,10.0,4.0,389.79,6.95,18.98,0.25,0.26
32.11848,100,41.93263,0.68,5.0,32.12,0.17,83.0,17.0,55.0,9.0,13.0,6.0,408.8,7.77,22.48,0.18,0.28
55.355736,100,42.242963,0.63,1.0,55.36,0.11,89.0,11.0,56.0,16.0,7.0,10.0,255.18,7.18,18.01,0.23,0.27
32.270836,100,42.599664,0.61,2.0,32.27,0.18,82.0,18.0,63.0,8.0,3.0,8.0,387.55,7.47,20.24,0.15,0.29
31.005333,100,42.905518,0.5,2.0,31.01,0.22,78.0,22.0,51.0,11.0,10.0,6.0,321.12,2.44,27.45,0.21,0.33
29.556293,100,43.204982,0.4,2.0,29.56,0.17,83.0,17.0,61.0,9.0,4.0,9.0,439.64,10.94,17.48,0.26,0.28
47.77872,100,43.512598,0.67,3.0,47.78,0.13,87.0,13.0,52.0,10.0,12.0,13.0,302.09,5.28,20.53,0.18,0.28
46.72545,100,43.845676,0.85,3.0,46.73,0.18,82.0,18.0,55.0,11.0,11.0,5.0,211.45,11.44,13.32,0.2,0.29
44.79413,100,44.216134,0.8,2.0,44.79,0.17,83.0,17.0,53.0,12.0,7.0,11.0,256.24,4.13,25.46,0.1,0.3
35.390324,100,44.625623,-1.0,7.0,35.39,0.16,84.0,16.0,64.0,8.0,8.0,4.0,388.82,4.86,22.58,0.2,0.34
19.902237,100,45.12455,0.73,4.0,19.9,0.24,76.0,24.0,50.0,14.0,6.0,6.0,422.92,4.98,20.52,0.16,0.38
22.144423,100,45.717366,-1.0,7.0,22.14,0.18,82.0,18.0,58.0,8.0,10.0,6.0,510.92,7.84,14.83,0.12,0.46
17.220947,100,46.153842,0.61,5.0,17.22,0.2,80.0,20.0,63.0,7.0,8.0,2.0,535.2,6.79,29.41,0.16,0.55
39.458485,100,46.623664,0.56,1.0,39.46,0.13,87.0,13.0,56.0,4.0,13.0,14.0,397.63,9.37,14.28,0.15,0.41
38.09612,100,47.134345,0.25,3.0,38.1,0.09,91.0,9.0,63.0,10.0,12.0,6.0,482.98,5.76,24.93,0.14,0.44
25.391703,100,47.619869,-1.0,6.0,25.39,0.27,73.0,27.0,44.0,12.0,10.0,7.0,283.02,7.69,13.16,0.29,0.47
