r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
30.923658,100,46.070699,0.77,4.0,30.92,0.24,76.0,24.0,41.0,13.0,12.0,10.0,506.31,9.37,14.85,0.23,0.35
57.08784,100,46.410219,0.85,4.0,57.09,0.13,87.0,13.0,54.0,11.0,9.0,13.0,424.79,9.34,18.63,0.15,0.32
53.04174,100,46.768273,0.81,3.0,53.04,0.14,86.0,14.0,46.0,12.0,12.0,16.0,551.27,6.88,18.47,0.19,0.31
52.56545,100,47.141591,0.8,3.0,52.57,0.14,86.0,14.0,55.0,14.0,10.0,7.0,411.34,11.62,14.42,0.2,0.33
57.32932,100,47.490054,0.85,1.0,57.33,0.14,86.0,14.0,61.0,8.0,8.0,9.0,354.15,7.9,19.2,0.15,0.35
43.668827,100,47.828241,-1.0,7.0,43.67,0.17,83.0,17.0,48.0,16.0,8.0,11.0,289.86,4.22,20.97,0.2,0.32
48.271786,100,48.162713,-1.0,5.0,48.27,0.18,82.0,18.0,48.0,14.0,10.0,10.0,488.12,5.49,20.85,0.14,0.31
50.05545,100,48.519132,0.9,2.0,50.06,0.19,81.0,19.0,57.0,11.0,7.0,6.0,628.87,5.58,24.24,0.1,0.31
38.570255,100,48.883669,0.78,5.0,38.57,0.17,83.0,17.0,49.0,10.0,16.0,8.0,329.82,3.86,22.29,0.22,0.33
27.352346,100,49.221227,0.75,0.0,27.35,0.25,75.0,25.0,48.0,15.0,7.0,5.0,396.11,8.56,18.1,0.25,0.34
42.055916,100,49.575037,0.82,3.0,42.06,0.2,80.0,20.0,53.0,11.0,9.0,7.0,345.63,8.13,16.45,0.18,0.31
37.83913,100,49.918219,0.87,1.0,37.84,0.25,75.0,25.0,47.0,8.0,13.0,7.0,429.77,1.75,25.05,0.13,0.31
51.51348,100,50.261678,0.91,2.0,51.51,0.19,81.0,19.0,50.0,10.0,8.0,13.0,519.89,7.46,20.13,0.09,0.32
51.18228,100,50.631431,-1.0,6.0,51.18,0.18,82.0,18.0,56.0,8.0,9.0,9.0,260.79,3.37,27.52,0.15,0.31
33.191463,100,50.977059,0.85,5.0,33.19,0.23,77.0,23.0,53.0,9.0,7.0,8.0,391.83,3.35,30.49,0.15,0.33
29.348942,100,51.357596,0.72,0.0,29.35,0.24,76.0,24.0,52.0,8.0,6.0,10.0,502.83,9.87,14.61,0.28,0.32
51.381054,100,51.715237,0.87,0.0,51.38,0.15,85.0,15.0,59.0,14.0,4.0,8.0,342.83,2.53,29.44,0.13,0.35
53.413235,100,52.048721,0.91,4.0,53.41,0.16,84.0,16.0,58.0,11.0,9.0,6.0,554.44,12.29,13.39,0.09,0.32
47.758915,100,52.396434,0.86,6.0,47.76,0.18,82.0,18.0,55.0,8.0,10.0,9.0,428.02,6.96,19.9,0.14,0.3
56.49235,100,52.720846,0.87,0.0,56.49,0.12,88.0,12.0,70.0,5.0,8.0,5.0,174.88,6.17,28.16,0.13,0.32
52.39182,100,53.102465,0.84,5.0,52.39,0.15,85.0,15.0,48.0,15.0,12.0,10.0,263.53,8.8,17.59,0.16,0.3
45.893837,100,53.468288,0.89,0.0,45.89,0.19,81.0,19.0,47.0,5.0,15.0,14.0,456.95,6.04,23.91,0.11,0.35
49.375854,100,53.803896,0.87,0.0,49.38,0.18,82.0,18.0,62.0,7.0,9.0,4.0,681.19,2.0,33.27,0.13,0.34
41.236824,100,54.149467,0.79,3.0,41.24,0.14,86.0,14.0,49.0,15.0,13.0,9.0,605.03,9.23,17.29,0.21,0.31
47.98229,100,54.487645,-1.0,7.0,47.98,0.19,81.0,19.0,65.0,6.0,7.0,3.0,616.05,10.0,18.38,0.14,0.32
37.209152,100,54.850289,0.77,3.0,37.21,0.2,80.0,20.0,51.0,15.0,10.0,4.0,384.88,6.92,18.63,0.23,0.31
42.94439,100,55.583344,0.82,5.0,42.94,0.17,83.0,17.0,55.0,9.0,13.0,6.0,408.8,7.77,22.48,0.18,0.33
53.82136,100,56.416205,0.77,1.0,53.82,0.11,89.0,11.0,56.0,16.0,7.0,10.0,255.5,7.2,18.03,0.23,0.68
44.506638,100,56.923883,0.83,2.0,44.51,0.18,82.0,18.0,63.0,8.0,3.0,8.0,390.67,7.5,20.17,0.17,0.78
35.77811,100,57.600441,0.78,2.0,35.78,0.22,78.0,22.0,51.0,11.0,10.0,6.0,308.2,2.5,27.57,0.22,0.48
